Id,Date,Price,Cohort
10053261867,2007-05-03,24.5,21
10053261867,2008-09-30,21,21
10053261867,2009-02-11,84,21
10053289712,2006-09-02,40.49,21
10053793663,2006-09-07,115.4,21
10053793663,2010-11-28,34.5,21
10053793663,2010-12-09,75,21
10054305626,2006-09-28,61.1,21
10054305626,2008-04-02,24.5,21
10054305626,2009-05-24,11.5,21
10054706409,2006-09-03,22.5,21
10054706409,2007-07-07,12.5,21
10054706409,2007-07-28,33.56,21
10054706409,2008-03-30,112.5,21
10054706409,2008-12-05,19,21
10054706409,2009-08-16,30,21
10054706409,2012-04-26,99,21
10055529678,2006-09-07,14,21
10056260248,2006-09-26,22.95,21
10056396605,2006-09-02,33.35,21
10056994705,2006-09-01,29.5,21
10056994705,2006-10-31,34.95,21
10057178168,2006-09-19,25.99,21
10057338665,2006-09-13,23.75,21
10057729548,2006-09-26,34,21
10057813878,2006-09-25,52.5,21
10057813878,2007-02-23,37.16,21
10058031301,2006-09-04,16,21
10058163682,2006-09-19,82.16,21
10058238549,2006-09-12,13.05,21
10058716760,2006-09-15,245.79,21
10058794210,2006-09-05,75,21
10058794210,2006-10-05,34.08,21
10059883187,2006-09-11,91.7,21
10059883187,2006-10-24,188.2,21
10060118779,2006-09-21,144.95,21
10060118779,2011-12-08,19.76,21
10060487235,2006-09-11,40.87,21
10060696016,2006-09-13,30,21
10060696016,2006-09-14,22,21
10060711585,2006-09-08,58.5,21
10060795873,2006-09-28,59.99,21
10060795873,2007-05-26,9.85,21
10060795873,2008-08-21,10.56,21
10060795873,2009-03-25,66,21
10060795873,2009-11-14,22.6,21
10060795873,2010-07-12,22.5,21
10060795873,2010-09-27,54.78,21
10060795873,2012-04-30,19.67,21
10060795873,2011-11-23,135,21
10060957063,2006-09-15,53.49,21
10061055685,2006-09-30,122,21
10061479620,2006-09-18,62.88,21
10061556360,2006-09-14,23,21
10061582580,2006-09-29,34.15,21
10061582580,2009-10-22,36.27,21
10061586019,2006-09-11,191.71,21
10061586019,2009-09-10,95.87,21
10062003650,2006-09-07,35.2,21
10062003650,2006-10-31,30.53,21
10062003650,2007-12-04,51.5,21
10062003650,2008-03-08,18,21
10062003650,2008-07-12,18,21
10062003650,2006-09-19,58,21
10062003650,2011-03-30,41.85,21
10062298423,2006-09-06,76.55,21
10062376056,2006-09-03,120,21
10062507930,2006-09-14,12.5,21
10062507930,2008-04-10,11.25,21
10062582017,2006-09-09,106.8,21
10062878283,2006-09-18,59,21
10062996695,2006-09-30,31.6,21
10063143323,2006-09-12,15,21
10063269242,2006-09-19,14.5,21
10063902007,2006-09-23,57.19,21
10063918765,2006-09-09,17.83,21
10064127786,2006-09-27,28.5,21
